Time Posted,Image URL,Instagram Post,Caption,Media Type,Reach,Plays,Total Interactions,Likes,Comments,Saves,Shares
08-10-2022 22:36:30,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/298224084_796563064695204_2756150449879620091_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Ez5s_5plLo8AX_kmYOX&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_axgti0UgE8GBGcwDjBPhnJ_l_v6mM_ycRfFivkZwtYg&oe=62FB2748,https://www.instagram.com/reel/ChGIpCOD627/,"#Groot and #StarLord know how to boogie🕺
#IAmGroot’s first episode drops today on @disneyplus… who’s watching? ✋

@totalnerd_ 

#marvel #guardiansofthegalaxy #guardiansofthegalaxyvol3 #mcu #omgmcu #peterquill #stopscrolling #movies #films #marveledit #totalnerd #disneyplus #marvelcomics #dancebreak #superheroes #guardiansofthegalaxysoundtrack",VIDEO,8932,9264,329,280,2,21,26
08-09-2022 19:36:05,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/298361930_1381354182355535_220397213263619187_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0_X4YKU-PzsAX-TAhDB&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8jMALiAjdoiyyiL-EyD7nn8nBe-IVYh_h5Op6TyHaHNA&oe=62F9C1FB,https://www.instagram.com/reel/ChDPWPWDskK/,"Mushu flips the newspaper from left to right because traditional Chinese text was written in columns going from right to left.

Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠ 

#disney #mulan #eddiemurphy #disneymovies #disneyplus #disneyprincess #disneychannel #disneyinsta #disneyfan #disneymagic #disneyaddict #disneyaddicts #disneyblogger #disneypixar #disneykid #disneyblogger #disneycharacters #disneymovie #disneyfans #disneyfanatic #dineyfandom #disneygeek #disneygeeks #disneynerd #disneynerds #disneynerdforlife",VIDEO,23439,23260,876,755,5,74,42
08-05-2022 16:43:47,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/297436843_436704178396394_792494893302052957_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=wrrsAUaJSP4AX-70McB&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9bHBpQA50ZyllFMSl0M9QyzIdPYrSWS6UzKwRUi3VzDA&oe=62F9F076,https://www.instagram.com/reel/Cg4mKGnDG2m/,"Which project are you most excited for? 💥⬇️

@totalnerd_ 
@marvel @marvelstudios 

#mcu #marvel #totalnerd #movies #film #marvelcomics #disneyplus #superheroes #marvelphase5 #phase5 #omgmcu #marvelmovies #comiccon #reels #reelsinstagram",VIDEO,24416,24656,737,600,10,67,60
08-02-2022 22:53:30,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/297069187_511393950756303_8329689112936758797_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=VlhwXJoZlkAAX8STaiC&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9a3IA1mvyIQsp1tw_ixI2233I_FOJISQ1kRbilhQWhJw&oe=62F9F589,https://www.instagram.com/reel/Cgxj_CpDUOo/,"It’s not looking good for #Wakanda 🫣🌊

@totalnerd_ 
@blackpanther 

#blackpanther #wakandaforever #chadwickboseman #avengers #marvel #mcu #totalnerd #comic #movies #superhero",VIDEO,44184,44007,1671,1297,24,217,133
08-02-2022 20:09:19,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/296895745_594504622051780_4515598317675355819_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=lku3MyXc8KEAX_fsDZQ&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9z7lmoQc6UZMmF2s3v_5jhQRMHp5cQGjItV5QJwPY0NQ&oe=62FA9C38,https://www.instagram.com/reel/CgxR1QnDph_/,"Even superhero movies can make fun of superhero movies 😂

#superhero #superheroes #superheroday #superheromemes #superherocostume #superherocomics #superheroteam #superheronerd #superheronerds #superherofilm #superherofilms #superheromovie #superheromovies #mcu #mcumemes #mcumarathon #omgmcu #mcuspiderman #mcumovies #mcufan #mcufacts #mcunerd #spidermannowayhome #spidermanhomecoming #spidermanfarfromhome #mcuvillains #avengers #avengers4",VIDEO,32050,33881,1035,861,1,137,36
08-01-2022 14:43:55,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/296398818_147192484597538_4636818422690247852_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=2Nv2RFVrHIQAX8RBJ38&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-aLsmGe8JRv9DnToJDzoUDN2qdvny9GHSLuHzVlaXkhA&oe=62F9EDDD,https://www.instagram.com/reel/CguHRIoDtaz/,"HOW is it August already? 🤨

@totalnerd_ 
@wbpictures 

#harrypotter #gryffindor #summer #summerbreak #warnerbrospictures #movies #film #wizard #totalnerd #wizardingworld #hogwarts #halfbloodprince #prisonerofazkaban #auntmarge #felixfelicis #liquidluck #summerproblems",VIDEO,29730,30996,945,785,5,91,64
07-27-2022 19:38:10,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/295770380_573342857592301_1771930815977093420_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JJ6NPkiXK8wAX_47OcS&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9Zz6vSvtqYTjFaq_5-fj1Kkb0Yg02bmihpZXSoFs1I6g&oe=62FA9444,https://www.instagram.com/reel/CghxbR2jYy_/,Pokémon fans were IN HEAVEN at San Diego Comic-Con!,VIDEO,20776,20087,505,409,1,34,61
07-27-2022 17:57:59,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/295936386_1654307148284019_3513692036974109260_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=TKa_3pE6p-kAX80afZ1&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_xJwrPQZJFI9QaDJwtdGz8-84WcK65i8xiJwoVpxMQkw&oe=62F9B32E,https://www.instagram.com/reel/CghlmICj48K/,"The Golden Trio in the first film vs the last films… Who’s your favorite #HarryPotter character?

@totalnerd_ 

#hp #goldentrio #hermionegranger #ronweasley #harrypotteredit #totalnerd #movies #film #warnerbros #wizardingworld #magic #gryffindor #sorcerersstone #deathlyhallows #witch #wizard #hogwarts",VIDEO,22070,21847,953,851,6,75,21
07-26-2022 17:59:52,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/295776313_789174412263562_5113662007462972428_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xn0n8HVz_xIAX_mheBk&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9g-zupUoXkx4AZeEmRHE1PqmaVQ-APIYR1vkbuBK3Gqg&oe=62FA7812,https://www.instagram.com/reel/CgfAf6EDQfr/,"Between Shuri, Nakia, Okoye, M’Baku, and Ramonda, who do you think is the next Black Panther?

@totalnerd_ 
@blackpanther 

#blackpanther #wakandaforever #blackpantherwakandaforever #marvel #mcu #avengers #sdcc #comiccon #comics #superhero #chadwickboseman #danaigurira #winstonduke #lupitanyongo #letitiawright #angelabassett #phase4 #tchalla",VIDEO,20218,20327,581,488,33,43,17
07-25-2022 16:26:24,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/295275732_764662838010983_218449203468962036_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7jyX9_-S3UMAX9S-tph&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8VwVftoJb6TN2G6XuAfsawoCZ5IrDHDhFzmd9RP78yiQ&oe=62FB7194,https://www.instagram.com/reel/CgcR-vyFXcG/,How is everyone at San Diego Comic-Con so creative?!,VIDEO,39708,39441,2214,1903,12,100,199
